,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
19,c++ nbabel.org,cpp,9,1611416742.7110307,1611416788.7877758,46.07674287699956,3.566962250729593
3,c++ nbabel.org,cpp,1,1611416386.315383,1611416432.3767588,46.061372677999316,3.56577238972387
15,fortran nbabel.org,fortran,7,1611416669.5558705,1611416691.9419682,22.3860949230002,1.7329861128584796
31,fortran nbabel.org,fortran,15,1611417013.7992866,1611417036.187782,22.388493702999767,1.7331718108304284
17,julia nbabel.org,julia,8,1611416705.6151183,1611416731.0218883,25.406767847000083,1.966826996978069
1,julia nbabel.org,julia,0,1611416349.261821,1611416374.6110373,25.34921297300025,1.9623714723449381
9,julia optimized,julia,4,1611416536.9315517,1611416550.321118,13.389563396000085,1.0365330577896328
25,julia optimized,julia,12,1611416882.9347794,1611416896.5259702,13.591188808999505,1.052141588081727
7,numba,py,3,1611416508.887007,1611416523.631342,14.744332070000382,1.141410451826143
23,numba,py,11,1611416854.8572943,1611416869.5987537,14.741457416999765,1.1411879148563637
5,pypy,py,2,1611416448.4217353,1611416495.288578,46.86684006900032,3.6281264451214876
21,pypy,py,10,1611416802.6463668,1611416842.7387092,40.092340887998944,3.1036887063095993
27,pythran,py,13,1611416908.2182264,1611416921.1667757,12.948547326001062,1.0023924572300198
11,pythran,py,5,1611416562.9689238,1611416575.8865693,12.917642419000913,1.0
29,pythran high-level jit,py,14,1611416935.7382407,1611417002.9748738,67.23663097899953,5.205023393440535
13,pythran high-level jit,py,6,1611416591.3246098,1611416658.6781347,67.35352210900055,5.214072345734576
28,sleep(t_sleep_before),py,14,1611416929.7320557,1611416933.7361333,4.0040810520004015,0.30996995598133986
26,sleep(t_sleep_before),py,13,1611416902.2120414,1611416906.216135,4.004096089000086,0.3099711200482181
24,sleep(t_sleep_before),julia,12,1611416876.9286234,1611416880.9326959,4.004076335999343,0.3099695908991596
22,sleep(t_sleep_before),py,11,1611416848.8511238,1611416852.855212,4.004092009001397,0.3099708042012116
4,sleep(t_sleep_before),py,2,1611416442.415548,1611416446.419634,4.00408836600036,0.30997052218372584
18,sleep(t_sleep_before),cpp,9,1611416736.7048333,1611416740.708941,4.00412163799956,0.3099730978858641
2,sleep(t_sleep_before),cpp,1,1611416380.3092163,1611416384.3133073,4.004092745999515,0.30997086125482043
16,sleep(t_sleep_before),julia,8,1611416699.6089506,1611416703.6130226,4.004073948000951,0.3099694060358296
30,sleep(t_sleep_before),fortran,15,1611417007.7930782,1611417011.797191,4.004113375998713,0.3099724582954049
14,sleep(t_sleep_before),fortran,7,1611416663.5496767,1611416667.5537598,4.004086146998816,0.30997035040303456
12,sleep(t_sleep_before),py,6,1611416585.3184433,1611416589.322527,4.004085917998964,0.30997033267535296
10,sleep(t_sleep_before),py,5,1611416556.9627438,1611416560.96683,4.00408697399871,0.30997041442399653
8,sleep(t_sleep_before),julia,4,1611416530.9253922,1611416534.9294634,4.004073160000189,0.3099693450339273
6,sleep(t_sleep_before),py,3,1611416502.880844,1611416506.884924,4.004082188001121,0.3099700439231393
20,sleep(t_sleep_before),py,10,1611416796.6401858,1611416800.644273,4.0041017410003406,0.30997155758937855
0,sleep(t_sleep_before),julia,0,1611416343.2556722,1611416347.2597663,4.00409542899979,0.3099710689552806
