,implementation,nb_threads,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
0,sleep(t_sleep_before),1,None,0,1611691163.6431153,1611691167.6472037,4.004091569999218,0.07244538577666149
26,sleep(t_sleep_before),1,None,13,1611691757.9593735,1611691761.9634724,4.0040969280016725,0.07244548271813947
24,sleep(t_sleep_before),1,None,12,1611691723.5919712,1611691727.5960493,4.004079537000507,0.07244516806554813
22,sleep(t_sleep_before),1,None,11,1611691686.84316,1611691690.8472643,4.004106895001314,0.07244566304946343
20,sleep(t_sleep_before),1,None,10,1611691645.8582184,1611691649.8623004,4.00407177499801,0.07244502762888343
18,sleep(t_sleep_before),1,None,9,1611691591.641415,1611691595.6454248,4.004009319000033,0.07244389762254155
17,nbabel5_threads.jl,1,julia,8,1611691518.8359787,1611691574.1947434,55.35876064100012,1.0015971664593826
16,sleep(t_sleep_before),1,None,8,1611691512.8298545,1611691516.8339236,4.004071314000612,0.07244501928813152
30,sleep(t_sleep_before),1,None,15,1611691823.7581892,1611691827.7622874,4.004087355999218,0.07244530953343618
28,sleep(t_sleep_before),1,None,14,1611691790.5522683,1611691794.5563514,4.004084444997716,0.07244525686515348
12,sleep(t_sleep_before),1,None,6,1611691441.1169536,1611691445.1210217,4.004069267997693,0.07244498227012927
14,sleep(t_sleep_before),1,None,7,1611691474.3394039,1611691478.343486,4.00408335999964,0.07244523723445753
10,sleep(t_sleep_before),1,None,5,1611691408.3724883,1611691412.3765607,4.00407485300093,0.07244508331869595
1,nbabel5_threads.jl,1,julia,0,1611691169.64929,1611691224.9197774,55.27048447699963,1.0
2,sleep(t_sleep_before),1,None,1,1611691242.2761075,1611691246.280184,4.0040783759995975,0.07244514705974511
6,sleep(t_sleep_before),1,None,3,1611691337.251997,1611691341.2560854,4.004088622999916,0.07244533245707635
4,sleep(t_sleep_before),1,None,2,1611691296.4350617,1611691300.4391637,4.004103773000679,0.0724456065636073
8,sleep(t_sleep_before),1,None,4,1611691373.9360428,1611691377.940162,4.004120630001125,0.07244591155460937
19,nbabel5_threads.jl,2,julia,9,1611691597.6475396,1611691631.0123525,33.36480906399811,0.6036641324879758
3,nbabel5_threads.jl,2,julia,1,1611691248.2822676,1611691281.6703467,33.388075920998745,0.6040850959953667
5,nbabel5_threads.jl,4,julia,2,1611691302.4412553,1611691323.27898,20.83771033800076,0.3770133469098178
21,nbabel5_threads.jl,4,julia,10,1611691651.864397,1611691672.8416135,20.97721368600105,0.37953735858296217
23,nbabel5_threads.jl,6,julia,11,1611691692.8493652,1611691709.8502653,17.000896395999007,0.3075944883941409
7,nbabel5_threads.jl,6,julia,3,1611691343.2581904,1611691360.274286,17.016091695000796,0.3078694144988345
9,nbabel5_threads.jl,8,julia,4,1611691379.9422498,1611691394.8201401,14.877886164998927,0.26918320520946837
25,nbabel5_threads.jl,8,julia,12,1611691729.5981336,1611691744.475532,14.877394797997113,0.269174314985211
11,nbabel5_threads.jl,12,julia,5,1611691414.3786485,1611691427.5770788,13.19842699900255,0.23879702021600643
27,nbabel5_threads.jl,12,julia,13,1611691763.9655862,1611691777.0530381,13.087448022997705,0.2367890954247731
13,nbabel5_threads.jl,16,julia,6,1611691447.1231108,1611691461.0153348,13.892221050002263,0.2513497245674298
29,nbabel5_threads.jl,16,julia,14,1611691796.558467,1611691810.485585,13.927115475999017,0.25198106381344776
15,nbabel5_threads.jl,24,julia,7,1611691480.3455942,1611691493.2790072,12.93340964500021,0.23400210378800546
31,nbabel5_threads.jl,24,julia,15,1611691829.764379,1611691842.8165019,13.052118558000075,0.2361498850879733
